pid,class,source,feature,value,weight
C3L-00009,C2_suppressor_conv,MUT/CNV,suppressor_hits(KEAP1/mut),1.0,0.245
C3L-00009,C6_microenv,RNA,immune/stromal_signature,0.66,0.16
C3L-00009,C7_entropy,RNA,lineage_entropy,1.969,0.707
C3L-00080,C1_hidden_canonical,RNA,RTK_expr_outlier,2.882,0.441
C3L-00080,C1_hidden_canonical,CNV,RTK_subthreshold_amp,0.474,0.579
C3L-00080,C2_suppressor_conv,MUT/CNV,suppressor_hits(RASA1/mut+PTEN/loss+STK11/loss+KEAP1/loss),4.0,0.7
C3L-00080,C7_entropy,RNA,lineage_entropy,1.987,0.284
C3L-00083,C1_hidden_canonical,RNA,RTK_expr_outlier,3.185,0.593
C3L-00083,C4_lineage_cond,RNA,dom=Ciliated(strength=1.65)xoutput,1.649,0.3
C3L-00083,C5_ligand,RNA/PROTEIN,ligand_outlier,3.131,0.565
C3L-00083,C6_microenv,RNA,immune/stromal_signature,1.746,1.0
C3L-00083,C7_entropy,RNA,lineage_entropy,1.902,0.242
C3L-00095,C2_suppressor_conv,MUT/CNV,suppressor_hits(STK11/mut),1.0,0.245
C3L-00095,C3_protein_state,PHOSPHO/PROTEIN,"PDGFRA:activation_z=2.2(protein/phospho),RNA_z=1.0,amp=0.06",0.122,0.122
C3L-00095,C6_microenv,RNA,immune/stromal_signature,0.984,0.484
C3L-00095,C7_entropy,RNA,lineage_entropy,1.954,0.621
C3L-00144,C5_ligand,RNA/PROTEIN,ligand_outlier,4.112,1.0
C3L-00144,C6_microenv,RNA,immune/stromal_signature,0.868,0.368
C3L-00422,C1_hidden_canonical,RNA,RTK_expr_outlier,2.895,0.447
C3L-00422,C5_ligand,RNA/PROTEIN,ligand_outlier,2.732,0.366
C3L-00422,C7_entropy,RNA,lineage_entropy,1.926,0.396
C3L-01682,C3_protein_state,PHOSPHO/PROTEIN,"PDGFRA:activation_z=2.4(protein/phospho),RNA_z=0.1,amp=-0.01",0.2,0.2
C3L-01682,C4_lineage_cond,RNA,dom=AT1(strength=1.15)xoutput,1.147,0.194
C3L-01682,C5_ligand,RNA/PROTEIN,ligand_outlier,2.683,0.341
C3L-01682,C6_microenv,RNA,immune/stromal_signature,0.979,0.479
C3L-01682,C7_entropy,RNA,lineage_entropy,1.888,0.348
C3L-01683,C1_hidden_canonical,RNA,RTK_expr_outlier,2.249,0.125
C3L-01683,C5_ligand,RNA/PROTEIN,ligand_outlier,3.081,0.541
C3L-01683,C6_microenv,RNA,immune/stromal_signature,2.067,1.0
C3L-02508,C1_hidden_canonical,RNA,RTK_expr_outlier,2.552,0.276
C3L-02508,C4_lineage_cond,RNA,dom=AT1(strength=1.77)xoutput,1.773,0.3
C3L-02508,C5_ligand,RNA/PROTEIN,ligand_outlier,3.21,0.605
C3L-02508,C6_microenv,RNA,immune/stromal_signature,2.024,1.0
C3N-00549,C1_hidden_canonical,RNA,RTK_expr_outlier,3.16,0.58
C3N-00549,C2_suppressor_conv,MUT/CNV,suppressor_hits(NF1/mut+RASA1/loss+STK11/mut+KEAP1/loss),4.0,0.7
C3N-00549,C2_suppressor_conv,PHOSPHO,pathway_output(ERK/AKT/S6),1.423,0.085
C3N-00549,C4_lineage_cond,RNA,dom=Proliferative(strength=1.29)xoutput,1.286,0.222
C3N-00549,C5_ligand,RNA/PROTEIN,ligand_outlier,3.729,0.865
C3N-00737,C6_microenv,RNA,immune/stromal_signature,0.954,0.454
C3N-00737,C7_entropy,RNA,lineage_entropy,1.931,0.745
C3N-00738,C4_lineage_cond,RNA,dom=EMT_mesenchymal(strength=0.98)xoutput,0.983,0.391
C3N-00738,C5_ligand,RNA/PROTEIN,ligand_outlier,3.609,0.805
C3N-00738,C6_microenv,RNA,immune/stromal_signature,0.75,0.25
C3N-00738,C7_entropy,RNA,lineage_entropy,1.934,0.149
C3N-01071,C2_suppressor_conv,MUT/CNV,suppressor_hits(NF1/mut),1.0,0.245
C3N-01071,C7_entropy,RNA,lineage_entropy,1.959,0.642
C3N-01072,C6_microenv,RNA,immune/stromal_signature,1.129,0.629
C3N-01072,C7_entropy,RNA,lineage_entropy,1.884,0.508
C3N-01823,C2_suppressor_conv,MUT/CNV,suppressor_hits(NF1/mut+STK11/mut+KEAP1/mut),3.0,0.7
C3N-01823,C7_entropy,RNA,lineage_entropy,2.01,0.3
C3N-02000,C1_hidden_canonical,CNV,RTK_subthreshold_amp,0.592,0.972
C3N-02003,C6_microenv,RNA,immune/stromal_signature,1.721,1.0
C3N-02003,C7_entropy,RNA,lineage_entropy,1.849,0.328
C3N-02089,C1_hidden_canonical,RNA,RTK_expr_outlier,3.558,0.779
C3N-02089,C2_suppressor_conv,MUT/CNV,suppressor_hits(STK11/mut+KEAP1/mut),2.0,0.49
C3N-02089,C5_ligand,RNA/PROTEIN,ligand_outlier,3.697,0.849
C3N-02149,C1_hidden_canonical,RNA,RTK_expr_outlier,2.223,0.111
C3N-02149,C2_suppressor_conv,MUT/CNV,suppressor_hits(STK11/mut),1.0,0.245
C3N-02149,C2_suppressor_conv,PHOSPHO,pathway_output(ERK/AKT/S6),1.969,0.194
C3N-02149,C4_lineage_cond,RNA,dom=Mucinous_gastric(strength=0.85)xoutput,0.855,0.229
C3N-02149,C7_entropy,RNA,lineage_entropy,1.995,0.561
C3N-02422,C2_suppressor_conv,MUT/CNV,suppressor_hits(NF1/loss),1.0,0.245
